date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:38:58	47898/47898	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-bb1a%22	http://henkaku.xyz/assets/vitadoom-hero.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/vitadoom-hero.png	(from http://henkaku.xyz/)
12:38:58	36868/36868	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b81dfe5-9004%22	http://henkaku.xyz/bower_components/bootstrap-sass/assets/javascripts/bootstrap.min.js	F:/Meu%20Site/PSVITA/henkaku.xyz/bower_components/bootstrap-sass/assets/javascripts/bootstrap.min.js	(from http://henkaku.xyz/)
12:38:58	14462/14462	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263c1e44b-387e%22	http://jailbreak.psp2.dev/go/kernel.js	F:/Meu%20Site/PSVITA/jailbreak.psp2.dev/go/kernel.js	(from http://jailbreak.psp2.dev/go/)
12:38:58	4827/4827	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263c1e44b-12db%22	http://jailbreak.psp2.dev/go/jsos.js	F:/Meu%20Site/PSVITA/jailbreak.psp2.dev/go/jsos.js	(from http://jailbreak.psp2.dev/go/)
12:38:58	8932/8932	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263c1e44b-22e4%22	http://jailbreak.psp2.dev/go/offsets.js	F:/Meu%20Site/PSVITA/jailbreak.psp2.dev/go/offsets.js	(from http://jailbreak.psp2.dev/go/)
12:38:59	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b81dfe5-14e4a%22	http://henkaku.xyz/bower_components/jquery/dist/jquery.min.js	F:/Meu%20Site/PSVITA/henkaku.xyz/bower_components/jquery/dist/jquery.min.js	(from http://henkaku.xyz/)
12:39:01	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225b81dfe5-4e9f%22	http://henkaku.xyz/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.eot	F:/Meu%20Site/PSVITA/henkaku.xyz/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.eot	(from http://henkaku.xyz/css/main.css)
12:39:02	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%225b81dfe5-466c%22	http://henkaku.xyz/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.woff2	F:/Meu%20Site/PSVITA/henkaku.xyz/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.woff2	(from http://henkaku.xyz/css/main.css)
12:39:02	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225b81dfe5-4e9f%22	http://henkaku.xyz/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.eot?	F:/Meu%20Site/PSVITA/henkaku.xyz/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regulard41d.eot	(from http://henkaku.xyz/css/main.css)
12:39:02	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225b81dfe5-1a8c2%22	http://henkaku.xyz/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.svg	F:/Meu%20Site/PSVITA/henkaku.xyz/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.svg	(from http://henkaku.xyz/css/main.css)
12:39:04	4180/4180	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-1054%22	http://henkaku.xyz/assets//homebrew/0-offline.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/0-offline.png	(from http://henkaku.xyz/showcase/)
12:39:04	23424/23424	---M--	200	added ('OK')	font/woff	etag:%225b81dfe5-5b80%22	http://henkaku.xyz/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.woff	F:/Meu%20Site/PSVITA/henkaku.xyz/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.woff	(from http://henkaku.xyz/css/main.css)
12:39:05	4139/4139	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-102b%22	http://henkaku.xyz/assets//homebrew/10-vita-8.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/10-vita-8.png	(from http://henkaku.xyz/showcase/)
12:39:05	10921/10921	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-2aa9%22	http://henkaku.xyz/assets//homebrew/1-genesis.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/1-genesis.png	(from http://henkaku.xyz/showcase/)
12:39:05	45404/45404	---M-Z	200	added ('OK')	font/ttf	etag:W/%225b81dfe5-b15c%22	http://henkaku.xyz/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.ttf	F:/Meu%20Site/PSVITA/henkaku.xyz/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.ttf	(from http://henkaku.xyz/css/main.css)
12:39:09	15044/15044	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-3ac4%22	http://henkaku.xyz/assets//homebrew/14-vitatester.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/14-vitatester.png	(from http://henkaku.xyz/showcase/)
12:39:10	2898/2898	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-b52%22	http://henkaku.xyz/assets//homebrew/15-breakveetout.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/15-breakveetout.png	(from http://henkaku.xyz/showcase/)
12:39:12	41290/41290	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-a14a%22	http://henkaku.xyz/assets//homebrew/13-floodit.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/13-floodit.png	(from http://henkaku.xyz/showcase/)
12:39:13	12009/12009	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-2ee9%22	http://henkaku.xyz/assets//homebrew/16-catsfc-libretro.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/16-catsfc-libretro.png	(from http://henkaku.xyz/showcase/)
12:39:14	6977/6977	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-1b41%22	http://henkaku.xyz/assets//homebrew/17-textquest.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/17-textquest.png	(from http://henkaku.xyz/showcase/)
12:39:14	70158/70158	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-1120e%22	http://henkaku.xyz/assets//homebrew/11-numptyphysics.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/11-numptyphysics.png	(from http://henkaku.xyz/showcase/)
12:39:17	15067/15067	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-3adb%22	http://henkaku.xyz/assets//homebrew/2-vitadoom.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/2-vitadoom.png	(from http://henkaku.xyz/showcase/)
12:39:20	39836/39836	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-9b9c%22	http://henkaku.xyz/assets//homebrew/18-jellycar.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/18-jellycar.png	(from http://henkaku.xyz/showcase/)
12:39:22	26437/26437	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-6745%22	http://henkaku.xyz/assets//homebrew/20-anotherworld.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/20-anotherworld.png	(from http://henkaku.xyz/showcase/)
12:39:26	77424/77424	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-12e70%22	http://henkaku.xyz/assets//homebrew/19-reminiscence.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/19-reminiscence.png	(from http://henkaku.xyz/showcase/)
12:39:29	55958/55958	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-da96%22	http://henkaku.xyz/assets//homebrew/21-vitahomebrewbrowser.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/21-vitahomebrewbrowser.png	(from http://henkaku.xyz/showcase/)
12:39:29	16377/16377	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-3ff9%22	http://henkaku.xyz/assets//homebrew/3-handy.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/3-handy.png	(from http://henkaku.xyz/showcase/)
12:39:32	13596/13596	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-351c%22	http://henkaku.xyz/assets//homebrew/5-smsplus.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/5-smsplus.png	(from http://henkaku.xyz/showcase/)
12:39:32	16359/16359	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-3fe7%22	http://henkaku.xyz/assets//homebrew/4-neopop.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/4-neopop.png	(from http://henkaku.xyz/showcase/)
12:39:33	5084/5084	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-13dc%22	http://henkaku.xyz/assets//homebrew/6-ftpvita.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/6-ftpvita.png	(from http://henkaku.xyz/showcase/)
12:39:35	3622/3622	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-e26%22	http://henkaku.xyz/assets//homebrew/8-vitahelloworld.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/8-vitahelloworld.png	(from http://henkaku.xyz/showcase/)
12:39:35	15157/15157	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-3b35%22	http://henkaku.xyz/assets//homebrew/7-realboy.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/7-realboy.png	(from http://henkaku.xyz/showcase/)
12:39:36	7726/7726	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-1e2e%22	http://henkaku.xyz/assets//homebrew/9-mgba.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/9-mgba.png	(from http://henkaku.xyz/showcase/)
12:39:37	4082/4082	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b81dfe5-ff2%22	http://henkaku.xyz/go/payload.js	F:/Meu%20Site/PSVITA/henkaku.xyz/go/payload.js	(from http://henkaku.xyz/go/)
12:39:37	8744/8744	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-2228%22	http://henkaku.xyz/assets/molecule.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/molecule.png	(from http://henkaku.xyz/about/)
12:39:47	218437/218437	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-35545%22	http://henkaku.xyz/assets//homebrew/22-retroarch.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/22-retroarch.png	(from http://henkaku.xyz/showcase/)
12:39:49	390535/390535	---M--	200	added ('OK')	image/png	etag:%225b81dfe5-5f587%22	http://henkaku.xyz/assets//homebrew/12-snes9x.png	F:/Meu%20Site/PSVITA/henkaku.xyz/assets/homebrew/12-snes9x.png	(from http://henkaku.xyz/showcase/)
